searches_density num_searches time min
0.400000 4900000 1795 -79799
0.400000 4900000 1454 -79799
0.400000 4900000 1484 -79799
0.400000 6400000 1943 -68053
0.400000 6400000 2058 -68053
0.400000 6400000 1927 -68053
0.400000 6400000 1990 -68053
0.400000 6400000 1888 -68053
0.400000 8100000 2319 -71666
0.400000 8100000 2457 -71666
0.400000 8100000 2340 -71666
0.400000 8100000 2428 -71666
0.400000 8100000 2392 -71666
0.400000 10000000 3050 -77492
0.400000 10000000 2971 -77492
0.400000 10000000 2984 -77492
0.400000 10000000 3059 -77492
0.400000 10000000 2884 -77492
0.400000 12100000 3703 -68634
0.400000 12100000 3847 -68634
0.400000 12100000 3988 -68634
0.400000 12100000 3821 -68634
0.400000 12100000 3794 -68634
 1.000000 10000 7 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 1.000000 10000 4 -32407
 1.000000 62500 8 -41436
 1.000000 62500 10 -41436
 1.000000 62500 10 -41436
 1.000000 62500 12 -41436
 1.000000 62500 8 -41436
 1.000000 250000 37 -44848
 1.000000 250000 29 -44848
 1.000000 250000 19 -44848
 1.000000 250000 18 -44848
 1.000000 250000 31 -44848
 1.000000 562500 51 -61031
 1.000000 562500 44 -61031
 1.000000 562500 41 -61031
 1.000000 562500 36 -61031
 1.000000 562500 36 -61031
 1.000000 1000000 66 -60853
 1.000000 1000000 66 -60853
 1.000000 1000000 55 -60853
 1.000000 1000000 157 -60853
 1.000000 1000000 129 -60853
 1.000000 1562500 105 -53015
 1.000000 1562500 104 -53015
 1.000000 1562500 103 -53015
 1.000000 1562500 103 -53015
 1.000000 1562500 266 -53015
 1.000000 2250000 203 -61031
 1.000000 2250000 319 -61031
 1.000000 2250000 156 -61031
 1.000000 2250000 148 -61031
 1.000000 2250000 143 -61031
 1.000000 4000000 251 -60854
 1.000000 4000000 268 -60854
 1.000000 4000000 240 -60854
 1.000000 4000000 236 -60854
 1.000000 4000000 259 -60854
 1.000000 6250000 528 -77492
 1.000000 6250000 580 -77492
 1.000000 6250000 552 -77492
 1.000000 6250000 403 -77492
 1.000000 6250000 515 -77492
 1.000000 9000000 715 -61031
 1.000000 9000000 584 -61031
 1.000000 9000000 714 -61031
 1.000000 9000000 610 -61031
 1.000000 9000000 713 -61031
 1.000000 12250000 835 -79799
 1.000000 12250000 865 -79799
 1.000000 12250000 967 -79799
 1.000000 12250000 898 -79799
 1.000000 12250000 873 -79799
 1.000000 16000000 1150 -68053
 1.000000 16000000 1138 -68053
 1.000000 16000000 1200 -68053
 1.000000 16000000 1193 -68053
 1.000000 16000000 1199 -68053
 1.000000 20250000 1624 -71666
 1.000000 20250000 1521 -71666
 1.000000 20250000 1325 -71666
 1.000000 20250000 1524 -71666
 1.000000 20250000 1290 -71666
 1.000000 25000000 1771 -77492
 1.000000 25000000 2230 -77492
 1.000000 25000000 2062 -77492
 1.000000 25000000 2264 -77492
 1.000000 25000000 2418 -77492
 1.000000 30250000 2566 -68634
 1.000000 30250000 2588 -68634
 1.000000 30250000 2900 -68634
 1.000000 30250000 2875 -68634
 1.000000 30250000 2951 -68634
 1.000000 36000000 2889 -108181
 1.000000 36000000 4152 -108181
 1.000000 36000000 3217 -108181
 1.000000 36000000 3627 -108181
 1.000000 36000000 3401 -108181
 1.000000 10000 3 -32407
 1.000000 10000 1 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 1.000000 10000 2 -32407
 0.700000 43750 5 -41436
 0.700000 43750 7 -41436
 0.700000 43750 7 -41436
 0.700000 43750 8 -41436
 0.700000 43750 4 -41436
 0.700000 175000 17 -44848
 0.700000 175000 16 -44848
 0.700000 175000 25 -44848
 0.700000 175000 15 -44848
 0.700000 175000 16 -44848
 0.700000 393750 34 -61031
 0.700000 393750 34 -61031
 0.700000 393750 33 -61031
 0.700000 393750 33 -61031
 0.700000 393750 31 -61031
 0.700000 700000 96 -60853
 0.700000 700000 90 -60853
 0.700000 700000 56 -60853
 0.700000 700000 132 -60853
 0.700000 700000 69 -60853
 0.700000 1093750 136 -53015
 0.700000 1093750 121 -53015
 0.700000 1093750 123 -53015
 0.700000 1093750 91 -53015
 0.700000 1093750 106 -53015
 0.700000 1575000 148 -61031
 0.700000 1575000 143 -61031
 0.700000 1575000 132 -61031
 0.700000 1575000 150 -61031
 0.700000 1575000 423 -61031
 0.700000 2800000 295 -60854
 0.700000 2800000 262 -60854
 0.700000 2800000 520 -60854
 0.700000 2800000 641 -60854
 0.700000 2800000 307 -60854
 0.700000 4375000 441 -77492
 0.700000 4375000 578 -77492
 0.700000 4375000 559 -77492
 0.700000 4375000 624 -77492
 0.700000 4375000 410 -77492
 0.700000 6300000 602 -61031
 0.700000 6300000 788 -61031
 0.700000 6300000 721 -61031
 0.700000 6300000 908 -61031
 0.700000 6300000 806 -61031
 0.700000 8575000 859 -79799
 0.700000 8575000 850 -79799
 0.700000 8575000 985 -79799
 0.700000 8575000 1048 -79799
 0.700000 8575000 819 -79799
 0.700000 11200000 1381 -68053
 0.700000 11200000 1457 -68053
 0.700000 11200000 1166 -68053
 0.700000 11200000 1209 -68053
 0.700000 11200000 1302 -68053
 0.700000 14175000 1672 -71666
 0.700000 14175000 1707 -71666
 0.700000 14175000 1907 -71666
 0.700000 14175000 1768 -71666
 0.700000 14175000 1937 -71666
 0.700000 17500000 2036 -77492
 0.700000 17500000 2982 -77492
 0.700000 17500000 2147 -77492
 0.700000 17500000 2782 -77492
 0.700000 17500000 2005 -77492
 0.700000 21175000 2472 -68634
 0.700000 21175000 2763 -68634
 0.700000 21175000 2507 -68634
 0.700000 21175000 2435 -68634
 0.700000 21175000 2768 -68634
 0.700000 25200000 3461 -108181
 0.700000 25200000 2653 -108181
 0.700000 25200000 2951 -108181
 0.700000 25200000 3571 -108181
 0.700000 25200000 3363 -108181
 0.400000 4000 2 -32407
 0.400000 4000 1 -32407
 0.400000 4000 1 -32407
 0.400000 4000 1 -32407
 0.400000 4000 1 -32407
 0.400000 25000 7 -41436
 0.400000 25000 4 -41436
 0.400000 25000 10 -41436
 0.400000 25000 5 -41436
 0.400000 25000 6 -41436
 0.400000 100000 18 -44848
 0.400000 100000 17 -44848
 0.400000 100000 18 -44848
 0.400000 100000 18 -44848
 0.400000 100000 18 -44848
 0.400000 225000 39 -61031
 0.400000 225000 32 -61031
 0.400000 225000 31 -61031
 0.400000 225000 30 -61031
 0.400000 225000 64 -61031
 0.400000 400000 59 -60853
 0.400000 400000 64 -60853
 0.400000 400000 54 -60853
 0.400000 400000 62 -60853
 0.400000 400000 108 -60853
 0.400000 625000 87 -53015
 0.400000 625000 100 -53015
 0.400000 625000 100 -53015
 0.400000 625000 83 -53015
 0.400000 625000 85 -53015
 0.400000 900000 159 -61031
 0.400000 900000 145 -61031
 0.400000 900000 154 -61031
 0.400000 900000 148 -61031
 0.400000 900000 152 -61031
 0.400000 1600000 297 -60854
 0.400000 1600000 311 -60854
 0.400000 1600000 296 -60854
 0.400000 1600000 265 -60854
 0.400000 1600000 269 -60854
 0.400000 2500000 454 -77492
 0.400000 2500000 621 -77492
 0.400000 2500000 471 -77492
 0.400000 2500000 463 -77492
 0.400000 2500000 479 -77492
 0.400000 3600000 621 -61031
 0.400000 3600000 765 -61031
 0.400000 3600000 630 -61031
 0.400000 3600000 639 -61031
 0.400000 3600000 720 -61031
 0.400000 4900000 991 -79799
 0.400000 4900000 1223 -79799
 0.400000 4900000 917 -79799
 0.400000 4900000 895 -79799
 0.400000 4900000 833 -79799
 0.400000 6400000 1147 -68053
 0.400000 6400000 983 -68053
 0.400000 6400000 1001 -68053
 0.400000 6400000 975 -68053
 0.400000 6400000 1070 -68053
 0.400000 8100000 1923 -71666
 0.400000 8100000 1263 -71666
 0.400000 8100000 1414 -71666
 0.400000 8100000 1236 -71666
 0.400000 8100000 1174 -71666
 0.400000 10000000 1366 -77492
 0.400000 10000000 1479 -77492
 0.400000 10000000 1466 -77492
 0.400000 10000000 1311 -77492
 0.400000 10000000 1458 -77492
 0.400000 12100000 1746 -68634
 0.400000 12100000 1804 -68634
 0.400000 12100000 1715 -68634
 0.400000 12100000 1858 -68634
 0.400000 12100000 1897 -68634
